,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature,artist_pop,genres,track_pop
54,Lana Del Rey,Born To Die,Video Games,5by7gtiDrxe4n2qQQunL8S,0.39,0.255,6,-9.676,0,0.0299,0.806,1.14e-06,0.0887,0.179,122.056,https://api.spotify.com/v1/tracks/5by7gtiDrxe4n2qQQunL8S,https://api.spotify.com/v1/audio-analysis/5by7gtiDrxe4n2qQQunL8S,281947,4,90,art_pop pop,55
55,Lana Del Rey,Born To Die,Dark Paradise,0rbuGVyW18IpX0bhA3P4Oh,0.586,0.641,1,-8.342,0,0.0634,0.12,0.0,0.168,0.402,120.015,https://api.spotify.com/v1/tracks/0rbuGVyW18IpX0bhA3P4Oh,https://api.spotify.com/v1/audio-analysis/0rbuGVyW18IpX0bhA3P4Oh,243173,4,90,art_pop pop,51
56,Lana Del Rey,Born To Die,Radio,45dAw6GXEsogcDF3NUgj3O,0.312,0.841,2,-5.244,1,0.0846,0.217,2.38e-05,0.0876,0.185,75.112,https://api.spotify.com/v1/tracks/45dAw6GXEsogcDF3NUgj3O,https://api.spotify.com/v1/audio-analysis/45dAw6GXEsogcDF3NUgj3O,214587,4,90,art_pop pop,56
57,Lana Del Rey,Born To Die,Carmen,0LKYAQdeUDxqqL4O6qUzsD,0.487,0.426,1,-9.56,0,0.0317,0.0879,0.000392,0.128,0.0376,100.056,https://api.spotify.com/v1/tracks/0LKYAQdeUDxqqL4O6qUzsD,https://api.spotify.com/v1/audio-analysis/0LKYAQdeUDxqqL4O6qUzsD,248720,4,90,art_pop pop,49
58,Lana Del Rey,Born To Die,Summertime Sadness,4cKtn8Shw999egpwBmWQmp,0.565,0.647,1,-6.789,0,0.0334,0.0456,0.0,0.121,0.216,111.931,https://api.spotify.com/v1/tracks/4cKtn8Shw999egpwBmWQmp,https://api.spotify.com/v1/audio-analysis/4cKtn8Shw999egpwBmWQmp,264773,4,90,art_pop pop,52
59,lovelytheband,finding it hard to smile,broken,6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,https://api.spotify.com/v1/tracks/6XcfKZvJio9Z0fQy11GnNX,https://api.spotify.com/v1/audio-analysis/6XcfKZvJio9Z0fQy11GnNX,204878,4,57,modern_alternative_rock pov:_indie,69
60,GROUPLOVE,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,https://api.spotify.com/v1/tracks/0GO8y8jQk1PkHzS31d699N,https://api.spotify.com/v1/audio-analysis/0GO8y8jQk1PkHzS31d699N,218013,4,63,indie_rock la_indie modern_alternative_rock modern_rock pov:_indie shimmer_pop,80
61,5 Seconds of Summer,Youngblood (Deluxe),Ghost Of You,1MhXdlCQPnO56T57MfmaRm,0.458,0.561,10,-4.819,1,0.0269,0.0965,0.0,0.156,0.206,149.875,https://api.spotify.com/v1/tracks/1MhXdlCQPnO56T57MfmaRm,https://api.spotify.com/v1/audio-analysis/1MhXdlCQPnO56T57MfmaRm,197411,3,77,boy_band pop,74
62,Cigarettes After Sex,Cigarettes After Sex,Apocalypse,3AVrVz5rK8Hrqo9YGiVGN5,0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,https://api.spotify.com/v1/tracks/3AVrVz5rK8Hrqo9YGiVGN5,https://api.spotify.com/v1/audio-analysis/3AVrVz5rK8Hrqo9YGiVGN5,290147,4,80,ambient_pop dream_pop el_paso_indie shoegaze,78
63,BETWEEN FRIENDS,we just need some time together,affection,2lTtnKQgjbrBA1qnOFhBkP,0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-06,0.0855,0.298,179.518,https://api.spotify.com/v1/tracks/2lTtnKQgjbrBA1qnOFhBkP,https://api.spotify.com/v1/audio-analysis/2lTtnKQgjbrBA1qnOFhBkP,235226,4,57,indie_pop la_pop pov:_indie,1
